				Expected					Java Only					Java Alternative		
5 Feb 1689/0	5 Feb 1689/90	1	1	16900205	16900205	1689/90	1689/90	1690	1690	1690	1690	616886	616886			
5 Feb 1689/90	5 Feb 1689/90	1	1	16900205	16900205	1689/90	1689/90	1690	1690	1690	1690	616886	616886			
Aft 28 Feb 1623/24	Aft 28 Feb 1623/24	1	1	16240228	16240229	1623/24	Aft 1623/24	1624	1624			592819	596469			
Bef 28 Feb 1623/24	Bef 28 Feb 1623/24	1	1	16240228	16240227	1623/24	Bef 1623/24	1624		1624		589169	592819			
Bef 1 Mar 1632/33	Bef 1 Mar 1632/33	1	1	16330301	16330228	1632/33	Bef 1632/33	1633		1633		592455	596105		16330229	
Bef 1 Jan 1632/33	Bef 1 Jan 1632/33	1	1	16330101	16321231	1632/33	Bef 1632/33	1633		1633		592396	596046			
Bef Jan 1632/33	Bef Jan 1632/33	1	1	163301	16321200	1632/33	Bef 1632/33	1633		1633		592396	596076			
Aft 31 Mar 1832	Aft 31 Mar 1832	1	1	18320331	18320401	1832	Aft 1832	1832	1832			668770	672420			
Aft 28 Feb 1630/31	Aft 28 Feb 1630/31	1	1	16310228	16310301	1630/31	Aft 1630/31	1631	1631			595374	599024		16310229	
Bet 1 Jan 1632/33 and 5 Feb 1635/36	Bet 1 Jan 1632/33 and 5 Feb 1635/36	1	1	16330101	16330102	1635/36	Bet 1632/33 & 1635/36	1636	1633	1636		596046	597176			
Bet 19 Jan 1718/19 and 10 Feb 1718/19	Bet 19 Jan 1718/19 and 10 Feb 1718/19	1	1	17190119	17190120	1718/19	1718/19	1719	1719	1719	1719	627454	627476			
Bet 19 Jan 1718/19 and 25 Feb 1718/19	Bet 19 Jan 1718/19 and 25 Feb 1718/19	1	1	17190119	17190120	1718/19	1718/19	1719	1719	1719	1719	627454	627491			
Bet 19 Jan 1718/19 and 25 Apr 1719	Bet 19 Jan 1718/19 and 25 Apr 1719	1	1	17190119	17190120	1719	Bet 1718/19 & 1719	1719	1719	1719	1719	627454	627550			
12 Feb 1413/4	12 Feb 1413/14	1	1	14140212	14140212	1413/14	1413/14	1414	1414	1414	1414	516153	516153			
23 October 1856	23 Oct 1856	1	1	18561023	18561023	1856	1856	1856	1856	1856	1856	677736	677736			
"Jan 1st, 1901"	1 Jan 1901	1	1	19010101	19010101	1901	1901	1901	1901	1901	1901	693866	693866			
"February 2nd, 1902"	2 Feb 1902	1	1	19020202	19020202	1902	1902	1902	1902	1902	1902	694263	694263			
3rd March 1903	3 Mar 1903	1	1	19030303	19030303	1903	1903	1903	1903	1903	1903	694657	694657			
4th Apr 1904	4 Apr 1904	1	1	19040404	19040404	1904	1904	1904	1904	1904	1904	695054	695054			
15 Mar 44 BC	15 Mar 44 BC	1	1		-440315	44 BC	44 BC	-44	-44	-44	-44	-15986	-15986			
6 Oct 100B.C.	6 Oct 100 BC	1	Significant reformat		-1001006	100 BC	100 BC	-100	-100	-100	-100	-36221	-36221			
bet 58bc and 43 bc	Bet 58 BC and 43 BC	1	1		-570000	43 BC	Bet 58 BC & 43 BC	-43	-58	-43		-21169	-15330			
From 50 BC to 50	From 50 BC to 50	1	1		-490000	50	From 50 BC to 50	50	-50	50		-18249	18615			
From Mar 207BC to Oct 207BC	From Mar 207 BC to Oct 207 BC	1	1		-2070400	207 BC	207 BC	-207	-207	-207	-207	-75495	-75251		-2070200	
03/25/1967	25 Mar 1967	1	Significant reformat	19670325	19670325	1967	1967	1967	1967	1967	1967	718039	718039			
14-09-1900	14 Sep 1900	1	Significant reformat	19000914	19000914	1900	1900	1900	1900	1900	1900	693757	693757			
From 1900/09/14 to 1902/03/08	From 14 Sep 1900 to 8 Mar 1902	1	Significant reformat	19000914	19000915	1902	From 1900 to 1902	1902	1900	1902		693757	694297			
Btw 08.23.1853 and 15.03.1867	Bet 23 Aug 1853 and 15 Mar 1867	1	Significant reformat	18530823	18530824	1867	Bet 1853 & 1867	1867	1853	1867		676580	681529			
873-11-3	3 Nov 873	1	Significant reformat	08731103	8731103	873	873	873	873	873	873	318952	318952			
Bef 873-11-3	Bef 3 Nov 873	1	Significant reformat	08731103	8731102	873	Bef 873	873		873		315302	318952			
Aft 1900-09-02	Aft 2 Sep 1900	1	Significant reformat	19000902	19000903	1900	Aft 1900	1900	1900			693745	697395			
11/11/1900	11 Nov 1900	1	Significant reformat	19001111	19001111	1900	1900	1900	1900	1900	1900	693815	693815			
6/06/1900	6 Jun 1900	1	Significant reformat	19000606	19000606	1900	1900	1900	1900	1900	1900	693657	693657			
Aft 2nd Feb 1902	Aft 2 Feb 1902	1	1	19020202	19020203	1902	Aft 1902	1902	1902			694263	697913			
BEF OCT 1855	Bef Oct 1855	1	1	185510	18550900	1855	Bef 1855	1855		1855		673699	677379			
Aft Oct 1855	Aft Oct 1855	1	1	185510	18551100	1855	Aft 1855	1855	1855			677349	681029			
Bet 1873-11-3 and 1875/05/20	Bet 3 Nov 1873 and 20 May 1875	1	Significant reformat	18731103	18731104	1875	Bet 1873 & 1875	1875	1873	1875		683952	684515			
Bet 3-21-1873 and 13-4-1875	Bet 21 Mar 1873 and 13 Apr 1875	1	Significant reformat	18730321	18730322	1875	Bet 1873 & 1875	1875	1873	1875		683725	684478			
From 3-21-1873 to 1875-09-08	From 21 Mar 1873 to 8 Sep 1875	1	Significant reformat	18730321	18730322	1875	From 1873 to 1875	1875	1873	1875		683725	684626			
1823-01-23-08-19-1845	From 23 Jan 1823 to 19 Aug 1845	1	Significant reformat	18230123	18230124	1845	From 1823 to 1845	1845	1823	1845		665418	673656			
1875-1900	From 1875 to 1900	1	Significant reformat	1875	18760000	1900	From 1875 to 1900	1900	1875	1900		684376	693865			
FROM 1865 - 1900	From 1865 to 1900	1	Significant reformat	1865	18660000	1900	From 1865 to 1900	1900	1865	1900		680726	693865			
BET 1709-1745	Bet 1709 and 1745	1	Significant reformat	1709	17100000	1745	Bet 1709 & 1745	1745	1709	1745		623786	637290			
BTW 5 Feb 1789 & Mar 1790	Bet 5 Feb 1789 and Mar 1790	1	1	17890205	17890206	1790	Bet 1789 & 1790	1790	1789	1790		653021	653440			
BET 10 OCT AND 15 NOV 1823	Bet 10 Oct 1823 and 15 Nov 1823	1	Significant reformat	18231010	18231011	1823	1823	1823	1823	1823	1823	665678	665714			
BET 10 AND 15 OCT 1943	Bet 10 Oct 1943 and 15 Oct 1943	1	Significant reformat	19431010	19431011	1943	1943	1943	1943	1943	1943	709478	709483			
BET OCT AND NOV 1855	Bet Oct 1855 and Nov 1855	1	Significant reformat	185510	18551100	1855	1855	1855	1855	1855	1855	677349	677409			
BET OCT AND 15 NOV 1860	Bet Oct 1860 and 15 Nov 1860	1	Significant reformat	186010	18601100	1860	1860	1860	1860	1860	1860	679174	679219			
BET 5 JAN AND 10 FEB 1656/7	Bet 5 Jan 1656/57 and 10 Feb 1656/57	1	Significant reformat	16570105	16570106	1656/57	1656/57	1657	1657	1657	1657	604810	604846			
FROM JAN TO FEB 1710/11	From Jan 1710/11 to Feb 1710/11	1	Significant reformat	171101	17110200	1710/11	1710/11	1711	1711	1711	1711	624516	624574			
BET 5 AND 23 FEB 1721/22	Bet 5 Feb 1721/22 and 23 Feb 1721/22	1	Significant reformat	17220205	17220206	1721/22	1721/22	1722	1722	1722	1722	628566	628584			
BET 10 OCT AND 15 NOV 1823 (SOME TEXT)	Bet 10 Oct 1823 and 15 Nov 1823 (SOME TEXT)	1	Significant reformat	18231010	18231011	1823	1823	1823	1823	1823	1823	665678	665714			
BET 10 AND 15 OCT 1943 (SOME TEXT)	Bet 10 Oct 1943 and 15 Oct 1943 (SOME TEXT)	1	Significant reformat	19431010	19431011	1943	1943	1943	1943	1943	1943	709478	709483			
BET OCT AND NOV 1855 (SOME TEXT)	Bet Oct 1855 and Nov 1855 (SOME TEXT)	1	Significant reformat	185510	18551100	1855	1855	1855	1855	1855	1855	677349	677409			
BET OCT AND 15 NOV 1860 (SOME TEXT)	Bet Oct 1860 and 15 Nov 1860 (SOME TEXT)	1	Significant reformat	186010	18601100	1860	1860	1860	1860	1860	1860	679174	679219			
1878 to 1900	From 1878 to 1900	1	Significant reformat	1878	18790000	1900	From 1878 to 1900	1900	1878	1900		685471	693865			
c1978	Est 1978	1	1	1978	19780000	1978	Est 1978	1978	1978	1978	1978	721606	722700			
ca1978	Est 1978	1	1	1978	19780000	1978	Est 1978	1978	1978	1978	1978	721606	722700			
say 1750	Est 1750	1	1	1750	17500000	1750	Est 1750	1750	1750	1750	1750	638386	639480			
aft 1823?	Aft 1823 (?)	1	1	1823	18240000	1823	Aft 1823	1823	1823			665396	669410			
bef 1910 (?)	Bef 1910 (?)	1	1	1910	19090000	1910	Bef 1910	1910		1910		693501	697515			
(at age 16)	(at age 16)	1	1									0	0			
in   infancy	(in infancy)	1	1									0	0			
 died in infancy	(in infancy)	1	1									0	0			
INFANT	(in infancy)	1	1									0	0			
died young	(young)	1	1									0	0			
YOUNG	(young)	1	1									0	0			
UNKNOWN		1	1									0	0			
date unknown		1	1									0	0			
inconnue		1	1									0	0			
in   infancy (and some text)	(in infancy) (and some text)	1	1									0	0			
INFANT (and more text)	(in infancy) (and more text)	1	1									0	0			
died young (I think)	(young) (I think)	1	1									0	0			
YOUNG (as far as we know)	(young) (as far as we know)	1	1									0	0			
Unknown (and some text)	(and some text)	1	1									0	0			
Apr 1756-May 1757	From Apr 1756 to May 1757	1	Significant reformat	175604	17560500	1757	From 1756 to 1757	1757	1756	1757		641031	641456			
approx Feb 1854	Abt Feb 1854	1	1	185402	18540200	1854	Abt 1854	1854	1854	1854	1854	676651	676860			
omk 1900	Abt 1900	1	1	1900	19000000	1900	Abt 1900	1900	1900	1900	1900	693136	694230			
ansl 1525	Est 1525	1	1	1525	15250000	1525	Est 1525	1525	1525	1525	1525	556261	557355			
24 Feb 1578[/9?]-9 Jun 1579	From 24 Feb 1578/79 to 9 Jun 1579 (24 Feb 1578[/9?]-9 Jun 1579)	1	Significant reformat	15790224	15790225	1579	From 1578/79 to 1579	1579	1579	1579	1579	576390	576495			
13 Mar 1623[/24?]	13 Mar 1623/24 (13 Mar 1623[/24?])	1	Significant reformat	16240313	16240313	1623/24	1623/24	1624	1624	1624	1624	592832	592832			
From 2 Jan 1633[/4?] to 15 Mar 1633[/4?]	From 2 Jan 1633/34 to 15 Mar 1633/34 (From 2 Jan 1633[/4?] to 15 Mar 1633[/4?])	1	Significant reformat	16340102	16340103	1633/34	1633/34	1634	1634	1634	1634	596412	596484			
From 2 Jan 1633[/4?] to 15 Mar 1633[/4?] (some text)	From 2 Jan 1633/34 to 15 Mar 1633/34 (From 2 Jan 1633[/4?] to 15 Mar 1633[/4?]) (some text)	1	Significant reformat	16340102	16340103	1633/34	1633/34	1634	1634	1634	1634	596412	596484			
		1										0	0			
35 Feb 1622/23		Invalid day number	Invalid day number	162302	16230200	1622/23	1622/23	1623	1623	1623	1623	592427	592454			
12 times between 1641 and 1675		Unrecognized text	Unrecognized text	1641	16420000	1675	Bet 1641 & 1675	1675	1641	1675		598966	611740	Too many parts		
12 Aug between 985 and 989		Too many parts	Too many parts	0985	9860000	989	Bet 985 & 989	989	985	989		359526	361350			
FROM 1602/3-1610		Invalid year number	Invalid year number									0	0			
b.c. 1844		Unrecognized text	Unrecognized text	1844	18440000	1844	Est 1844	1844	1844	1844	1844	672696	673790			
1900-09		Invalid date range	Invalid date range	1900	19010000	9	From 1900 to 9	9	1900	9		693501	3650			
1875-13-20		Too many parts	Too many parts	0013	120000	20	to 13 to 20	20		20		4746	7665		130000	
1623-24		Invalid date range	Invalid date range	1623	16240000	24	From 1623 to 24	24	1623	24		592396	9125			
FROM OCT 1823 TO FEB 1823		Invalid date range	Invalid date range	182310	18231100	1823	1823	1823	1823	1823	1823	665669	665454			
FROM MAR 1824 TO NOV 1823		Invalid date range	Invalid date range	182403	18240400	1823	From 1824 to 1823	1823	1824	1823		665820	665729			
FROM 16 OCT 1823 TO 5 OCT 1823		Invalid date range	Invalid date range	18231016	18231017	1823	1823	1823	1823	1823	1823	665684	665673			
BET 1823 AND OCT 1823		Invalid date range	Invalid date range	1823	18240000	1823	1823	1823	1823	1823	1823	665396	665699			
FROM 1 FEB 1670 TO FEB 1670		Invalid date range	Invalid date range	16700201	16700202	1670	1670	1670	1670	1670	1670	609582	609609			
FROM 1 MAR 1803 TO 1803		Invalid date range	Invalid date range	18030301	18030302	1803	1803	1803	1803	1803	1803	658155	658460			
BET SEP 1756 AND SEP 1756		Invalid date range	Invalid date range	175609	17561000	1756	1756	1756	1756	1756	1756	641184	641213			
FROM 1715 TO 1693		Invalid date range	Invalid date range	1715	17160000	1693	From 1715 to 1693	1693	1715	1693		625976	618310			
BET 1715 AND 1715		Invalid date range	Invalid date range	1715	17160000	1715	1715	1715	1715	1715	1715	625976	626340			
FROM 1005 TO 876		Invalid date range	Invalid date range	1005	10060000	876	From 1005 to 876	876	1005	876		366826	320105			
BET 23 APR 1855 AND 5 APR 1855		Invalid date range	Invalid date range	18550423	18550424	1855	1855	1855	1855	1855	1855	677188	677170			
From 23 BC to 89 BC		Invalid date range	Invalid date range		-220000	89 BC	From 23 BC to 89 BC	-89	-23	-89		-8394	-32120			
Bet Nov 55 BC and Apr 55 BC		Invalid date range	Invalid date range		-551200	55 BC	55 BC	-55	-55	-55	-55	-19770	-19955		-551000	
21 Mar 1717/12 Feb 1718/9		Invalid date format	Invalid date format	17190212	17190212	1718/19	1718/19	1719	1719	1719	1719	627478	627478			
21 Mar 1717/12 Apr 1719		Invalid date format	Invalid date format	17190412	17190412	1719	1719	1719	1719	1719	1719	627537	627537			
3/9/1978		Ambiguous date	Ambiguous date	1978	19780000	1978	1978	1978	1978	1978	1978	721971	722335			
15 Jl 1978		Unrecognized text	Unrecognized text	1978	19780000	1978	1978	1978	1978	1978	1978	721971	722335			
28 Feb 1623/5		Invalid split year	Invalid split year	1623	16230000	1623	1623	1623	1623	1623	1623	592396	592760			
23 MAY 1611/12		Split year valid only for Jan-Mar	Split year valid only for Jan-Mar	16120523	16120523	1611/12	1611/12	1612	1612	1612	1612	588523	588523			
Aft 31 Dec 1630/31		Split year valid only for Jan-Mar	Split year valid only for Jan-Mar	16311231	16320101	1630/31	Aft 1630/31	1631	1631			595680	599330			
Aft Dec 1630/31		Split year valid only for Jan-Mar	Split year valid only for Jan-Mar	163112	16320100	1630/31	Aft 1630/31	1631	1631			595650	599330			
12 JAN 1623/		Incomplete split year	Incomplete split year									0	0			
Jan/0		Unrecognized text	Unrecognized text									0	0			
JAN/23		Unrecognized text	Unrecognized text	0023	230000	23	23	23	23	23	23	8396	8760			
Jan /23		Incomplete split year	Incomplete split year	0023	230000	23	23	23	23	23	23	8396	8760			
/23		Incomplete split year	Incomplete split year	0023	230000	23	23	23	23	23	23	8396	8760			
24/Jan/1945		Unrecognized text	Unrecognized text	1945	19450000	1945	1945	1945	1945	1945	1945	709926	710290			
Bet 1873-11-3 and 1875/15/20		Split year not valid for this year	Split year not valid for this year	0015	150000	15	15	15	15	15	15	5476	5840			
1756/57		Split year not valid for this year	Split year not valid for this year	1756	17560000	1756	1756	1756	1756	1756	1756	640941	641305			
15 Feb 956/57		Split year not valid for this year	Split year not valid for this year	0956	9560000	956	956	956	956	956	956	348941	349305			
From 13-23-1873 to 13-4-1875		Ambiguous date	Ambiguous date	1873	18730000	1873	1873	1873	1873	1873	1873	683646	684010			
Bet 1823-01-09 and 18-00-1845		Ambiguous date	Ambiguous date	1845	18450000	1845	1845	1845	1845	1845	1845	673426	673790			
Bet 1775-12-09 and 1783.02.09 and 1785-08-07		Too many parts	Too many parts	17830209	17830209	1785	and 1783 & 1785	1785	8	7		2921	2920		80000	7
Bet 3-11-1873 and 13-4-1875		Ambiguous date	Ambiguous date	1873	18730000	1873	1873	1873	1873	1873	1873	683646	684010			
From 18-22-1804 to 03/21/1810		Ambiguous date	Ambiguous date	1804	18040000	1804	1804	1804	1804	1804	1804	658461	658825			
03/04/1955-1956/03/21		Ambiguous date	Ambiguous date	1955	19550000	1955	1955	1955	1955	1955	1955	713576	713940			
6000		Invalid year number	Invalid year number									0	0			
19000914		Invalid year number	Invalid year number									0	0			
54 Feb 1923		Invalid day number	Invalid day number	192302	19230200	1923	1923	1923	1923	1923	1923	701927	701954			
100 Oct 1890		Invalid day number	Invalid day number	189010	18901000	1890	1890	1890	1890	1890	1890	690124	690154			
0 Nov 1900		Invalid day number	Invalid day number	190011	19001100	1900	1900	1900	1900	1900	1900	693805	693834			
6000 SEP 1823		Invalid day number	Invalid day number	182309	18230900	1823	1823	1823	1823	1823	1823	665639	665668			
31 Sep 1934		Invalid day for Sep	Invalid day for Sep	19340931	19341001	1934	1934	1934	1934	1934	1934	706184	706184		19340931	
BET 1 Feb 1945 and 30 Feb 1945		Invalid day for Feb	Invalid day for Feb	19450201	19450202	1945	1945	1945	1945	1945	1945	709957	709986			
WFT Est 1147-1174		WFT estimates not accepted	WFT estimates not accepted	1147	11470000	1174	Est 1147 to 1174					0	0		0	
BET 30 SEP 1875 TO 5 DEC 1875		Invalid combination of modifiers	Invalid combination of modifiers	18750930	18751001	1875	1875	1875	1875	1875	1875	684648	684714			
BEF 30 SEP 1875 AND 5 DEC 1875		Invalid combination of modifiers	Invalid combination of modifiers	18750930	18750929	1875	1875	1875	1875	1875	1875	680998	684714			
BEF ABT 1580		Invalid combination of modifiers	Invalid combination of modifiers	1580	15800000	1580	Bef Abt 1580	1580	1580	1580	1580	576336	577430			
at age 16		Unrecognized text	Unrecognized text	0016	160000	16	16	16	16	16	16	5841	6205			
13 10 Oct 1890		Too many numbers (days/years)	Too many numbers (days/years)	18901010	18901010	1890	1890	1890	1890	1890	1890	690133	690133			
FROM 13 10 OCT TO NOV 1823		Too many numbers (days/years)	Too many numbers (days/years)	182311	18231000	1823	To 1823	1823		1823		665700	665729		18231100	
BET 10 FEB OCT AND DEC 1845		Too many months	Too many months	184512	18451200	1845	& 1845	1845	1845	1845	1845	673760	673790			
FROM 1823 TO 1836 AND 1845		Too many parts	Too many parts	1836	18350000	1845	to 1836 & 1845	1845	1845	1845	1845	670141	673790		18360000	
BET BET 1836 AND 1845		Too many parts	Too many parts	1836	18370000	1845	Bet 1836 & 1845	1845	1836	1845		670141	673790			
BET 10 FEB 1878		Incorrect usage of bet/and	Incorrect usage of bet/and	18780210	18780211	1878	Bet 1878	1878	1878	1878	1878	685511	685511			
AND 10 FEB 1878		Incorrect usage of bet/and	Incorrect usage of bet/and	18780210	18780210	1878	& 1878	1878	1878	1878	1878	685511	685511			
1878 and 1900		Invalid combination of modifiers	Invalid combination of modifiers	1878	18780000	1900	1878 & 1900	1900	1878	1900		685471	693865			
1850 bef 1860		Invalid combination of modifiers	Invalid combination of modifiers	1850	18500000	1860	1850 Bef 1860	1860	1850	1860		675251	679265			
1823 bef Apr		Invalid combination of modifiers	Invalid combination of modifiers	1823	18230000				1823			665396	0			
bet 10 and 1823		Missing month	Missing month	1823	18230000	1823	& 1823	1823	1823	1823	1823	665396	665760			
bet 10 and 1823 (SOME TEXT)		Missing month	Missing month	1823	18230000	1823	& 1823	1823	1823	1823	1823	665396	665760			
BET 10 OCT AND 15 NOV		Incomplete date	Incomplete date									0	0			
BET 10 AND 15 OCT		Incomplete date	Incomplete date	0010	110000				10			3651	0			
BET 10 OCT 1822 AND 15 NOV		Incomplete date	Incomplete date	18221010	18221011				1822			665313	0			
BET OCT AND 1823		Incomplete date	Incomplete date	1823	18230000	1823	Bet & 1823	1823	1823	1823	1823	665396	665760			
FROM OCT TO FEB 1823		Incomplete date	Incomplete date	182302	18230100	1823	From To 1823	1823		1823		665427	665454		18230200	
FROM 16 OCT TO 5 OCT 1823		Incomplete date	Incomplete date	18231005	18231004	1823	From To 1823	1823		1823		665673	665673		18231005	
FROM 16 TO 5 OCT 1823		Missing month	Missing month	18231005	18231004	1823	To 1823	1823		1823		665673	665673		18231005	
BET 15 Oct 1823 and 29 1823		Incomplete date	Incomplete date	18231015	18231016	1823	1823	1823	1823	1823	1823	665683	665760			
BET 10 OCT AND 15 NOV (SOME TEXT)		Incomplete date	Incomplete date									0	0			
BET 10 AND 15 OCT (SOME TEXT)		Incomplete date	Incomplete date	0010	110000				10			3651	0			
BET 10 OCT 1822 AND 15 NOV (SOME TEXT)		Incomplete date	Incomplete date	18221010	18221011				1822			665313	0			
BET OCT AND 1823 (SOME TEXT)		Incomplete date	Incomplete date	1823	18230000	1823	Bet & 1823	1823	1823	1823	1823	665396	665760			
FROM OCT TO FEB 1823 (SOME TEXT)		Incomplete date	Incomplete date	182302	18230100	1823	From To 1823	1823		1823		665427	665454		18230200	
FROM 16 OCT TO 5 OCT 1823 (SOME TEXT)		Incomplete date	Incomplete date	18231005	18231004	1823	From To 1823	1823		1823		665673	665673		18231005	
FROM 16 TO 5 OCT 1823 (SOME TEXT)		Missing month	Missing month	18231005	18231004	1823	To 1823	1823		1823		665673	665673		18231005	
20 1923		Incomplete date	Incomplete date	1923	19230000	1923	1923	1923	1923	1923	1923	701896	702260		19230020	
28 Sep		Incomplete date	Incomplete date									0	0			
5 Sep (some text) 1980		Unrecognized text	Unrecognized text	1980	19800000	1980	1980	1980	1980	1980	1980	722701	723065			
2050		Future date	Future date	2050	20500000	2050	2050	2050	2050	2050	2050	748251	748615			
Sep 2050		Future date	Future date	205009	20500900	2050	2050	2050	2050	2050	2050	748494	748523			
bet 1980 and 2040		Future date	Future date	1980	19810000	2040	Bet 1980 & 2040	2040	1980	2040		722701	744965			
aft 2050		Future date	Future date	2050	20510000	2050	Aft 2050	2050	2050			748251	752265			
bef 2050		Future date	Future date	2050	20490000	2050	Bef 2050	2050		2050		744601	748615			
29 aug 2050		Future date	Future date	20500829	20500829	2050	2050	2050	2050	2050	2050	748491	748491			
bef 29 aug 2050		Future date	Future date	20500829	20500828	2050	Bef 2050	2050		2050		744841	748491			
from		Incomplete date	Incomplete date													
to		Incomplete date	Incomplete date													
bet		Incorrect usage of bet/and	Incorrect usage of bet/and													
bef		Incomplete date	Incomplete date													
aft		Incomplete date	Incomplete date													
abt		Incomplete date	Incomplete date													
est		Incomplete date	Incomplete date													
est. 1690-1694		Too many parts	Too many parts	1694	16900000			1694	1690	1694		616486	618675			
